state,vet_pop,overall_pop_18,vet_pop_p,vet_suicides,all_suicides,vet_suicides_p,vet_males,vet_males_p,vet_females,vet_females_p,vet_rate,civ_rate,year
South Dakota,67985,557930,0.121852203681465,29,121,0.239669421487603,,0.0,,0.0,42.6564683386041,18.7776178958863,2005
Tennessee,509881,4412551,0.115552432141861,183,856,0.213785046728972,178.0,0.972677595628415,5.0,0.027322404371585,35.8907274442468,17.2446043349809,2005
Texas,1612948,15899260,0.101447991919121,509,2418,0.210504549214227,498.0,0.978388998035364,11.0,0.021611001964636,31.5571239742385,13.3624409154721,2005
Utah,143301,1683956,0.085097829159432,49,348,0.140804597701149,48.0,0.979591836734694,1.0,0.020408163265306,34.1937599877182,19.4073299992536,2005
Vermont,57633,469021,0.122879359346383,10,78,0.128205128205128,9.0,0.9,1.0,0.1,17.3511703364392,16.5294077610431,2005
Virginia,757224,5442170,0.139140085664358,206,866,0.237875288683603,199.0,0.966019417475728,7.0,0.033980582524272,27.2046316545699,14.0876757170734,2005
Washington,628595,4633815,0.135653883463194,225,822,0.273722627737226,216.0,0.96,9.0,0.04,35.7941122662446,14.9055482595213,2005
West Virginia,175697,1389726,0.126425640737815,73,255,0.286274509803922,73.0,1.0,0.0,0.0,41.5488027684024,14.9914046534308,2005
Wisconsin,444679,4080095,0.108987413283269,136,643,0.211508553654743,,0.0,,0.0,30.5838593682184,13.9461343626149,2005
Wyoming,55519,379651,0.146236938662087,17,90,0.188888888888889,,0.0,,0.0,30.6201480574218,22.5216886947293,2005
Total,23395625,214122025,0.109263047554309,6846,32604,0.209974236290026,4554.0,0.665205959684487,129.0,0.018843120070114,29.2618812277937,13.5052095567263,2005
Alabama,408917,3473558,0.117722807565038,145,580,0.25,,0.0,,0.0,35.4595186798299,14.1941584675008,2006
Alaska,70067,478581,0.146405728601846,29,135,0.214814814814815,28.0,0.96551724137931,1.0,0.03448275862069,41.3889562846989,25.9477031386929,2006
Arizona,558906,4521911,0.123599513568489,225,979,0.229826353421859,,0.0,,0.0,40.2572167770609,19.0259664068049,2006
Arkansas,258170,2110583,0.122321652358614,90,376,0.23936170212766,88.0,0.977777777777778,2.0,0.022222222222222,34.8607506681644,15.4393215767758,2006
California,2142367,26789221,0.079971231712934,665,3334,0.199460107978404,655.0,0.984962406015038,10.0,0.015037593984962,31.0404333151136,10.8289682731922,2006
Colorado,416250,3558782,0.11696417482161,148,730,0.202739726027397,140.0,0.945945945945946,8.0,0.054054054054054,35.5555555555556,18.5200978064822,2006
Connecticut,260131,2680115,0.09705964109749,44,292,0.150684931506849,,0.0,,0.0,16.9145545898028,10.2480016396803,2006
Delaware,79438,647164,0.122747866074133,16,91,0.175824175824176,15.0,0.9375,1.0,0.0625,20.1414939953171,13.2105980701958,2006
Florida*,1747213,14016217,0.124656531787429,562,2440,0.230327868852459,,0.0,,0.0,32.1655115890278,15.3068659852096,2006
Georgia,732779,6850347,0.106969617743452,97,923,0.105092091007584,,0.0,,0.0,13.2372789067372,13.5020975655685,2006
Hawaii,117468,950715,0.123557533014626,21,120,0.175,,0.0,,0.0,17.8772091122689,11.8812308955208,2006
Idaho,133128,1066418,0.124836602532966,53,222,0.238738738738739,53.0,1.0,0.0,0.0,39.8113094165014,18.1079835849522,2006
Illinois,845481,9597260,0.088096081589954,186,1010,0.184158415841584,,0.0,,0.0,21.9993116344424,9.41522860666386,2006
Indiana,513266,4728420,0.108549155954843,108,824,0.131067961165049,107.0,0.990740740740741,1.0,0.009259259259259,21.0417210569179,16.9863307485326,2006
Iowa,253158,2265619,0.111738999363971,63,334,0.188622754491018,,0.0,,0.0,24.8856445381935,13.4660994672692,2006
Kansas,234507,2053186,0.114216149925043,94,379,0.24802110817942,93.0,0.98936170212766,1.0,0.01063829787234,40.0840913064429,15.6707148430262,2006
Kentucky,340830,3192332,0.106765211137187,34,622,0.054662379421222,,0.0,,0.0,9.97564768359593,20.6207114706565,2006
Louisiana,324880,3183547,0.102049694884354,81,492,0.164634146341463,,0.0,,0.0,24.9322826889929,14.3773304130911,2006
Maine,142205,1035232,0.137365344193379,43,158,0.272151898734177,,0.0,,0.0,30.238036637249,12.8775501748547,2006
Maryland,475371,4230839,0.112358565286932,91,495,0.183838383838384,,0.0,,0.0,19.1429430907649,10.7576472492909,2006
Massachusetts,453873,4983228,0.091080119151682,30,450,0.066666666666667,30.0,1.0,0.0,0.0,6.60977850632225,9.27284348433717,2006
Michigan,765929,7613279,0.100604351948746,258,1139,0.226514486391572,250.0,0.968992248062016,8.0,0.031007751937984,33.6845843413685,12.8662913389852,2006
Minnesota,410003,3905954,0.104968722109887,113,554,0.203971119133574,107.0,0.946902654867257,6.0,0.053097345132743,27.5607739455565,12.6145932823429,2006
